Data_Hora_Coleta	Data_viagem	Parque	Preco
20240125_144346.845046	2024-01-30	1 Dia - Disney Básico Animal Kingdom	R$ 781,75
20240125_144349.030528	2024-01-30	1 Dia - Disney Básico Epcot	R$ 840,10
20240125_144344.388923	2024-01-30	1 Dia - Disney Básico Hollywood Studios	R$ 898,45
20240125_144341.186993	2024-01-30	1 Dia - Disney Básico Magic Kingdom	R$ 927,60
20240125_144355.096636	2024-01-30	2 Dias - Disney World Básico	R$ 1.676,01
20240125_144357.899814	2024-01-30	3 Dias - Disney World Básico	R$ 2.204,76
20240125_144404.211444	2024-01-30	4 Dias - Disney Promocional	R$ 2.383,10
20240125_144401.440041	2024-01-30	4 Dias - Disney World Básico	R$ 2.841,79
20240125_144406.695832	2024-01-30	5 Dias - Disney World Básico	R$ 3.066,18
20240125_144415.148741	2024-02-04	1 Dia - Disney Básico Animal Kingdom	R$ 840,10
20240125_144418.081361	2024-02-04	1 Dia - Disney Básico Epcot	R$ 927,60
20240125_144412.276099	2024-02-04	1 Dia - Disney Básico Hollywood Studios	R$ 956,80
20240125_144409.323597	2024-02-04	1 Dia - Disney Básico Magic Kingdom	R$ 985,95
20240125_144420.198688	2024-02-04	2 Dias - Disney World Básico	R$ 1.676,01
20240125_144423.600939	2024-02-04	3 Dias - Disney World Básico	R$ 2.216,31
20240125_144428.344812	2024-02-04	4 Dias - Disney Promocional	R$ 2.383,10
20240125_144425.738588	2024-02-04	4 Dias - Disney World Básico	R$ 2.881,47
20240125_144430.392469	2024-02-04	5 Dias - Disney World Básico	R$ 3.143,54
20240125_144437.998860	2024-02-14	1 Dia - Disney Básico Animal Kingdom	R$ 869,24
20240125_144442.828898	2024-02-14	1 Dia - Disney Básico Epcot	R$ 927,60
20240125_144435.768581	2024-02-14	1 Dia - Disney Básico Hollywood Studios	R$ 985,95
20240125_144432.747813	2024-02-14	1 Dia - Disney Básico Magic Kingdom	R$ 1.015,10
20240125_144445.448661	2024-02-14	2 Dias - Disney World Básico	R$ 1.886,39
20240125_144448.328707	2024-02-14	3 Dias - Disney World Básico	R$ 2.495,56
20240125_144455.614206	2024-02-14	4 Dias - Disney Promocional	R$ 2.383,10
20240125_144452.028826	2024-02-14	4 Dias - Disney World Básico	R$ 3.195,07
20240125_144457.891784	2024-02-14	5 Dias - Disney World Básico	R$ 3.520,70
20240125_144506.688633	2024-03-12	1 Dia - Disney Básico Animal Kingdom	R$ 898,45
20240125_144509.710992	2024-03-12	1 Dia - Disney Básico Epcot	R$ 927,60
20240125_144503.718755	2024-03-12	1 Dia - Disney Básico Hollywood Studios	R$ 985,95
20240125_144501.296794	2024-03-12	1 Dia - Disney Básico Magic Kingdom	R$ 1.015,10
20240125_144513.181703	2024-03-12	2 Dias - Disney World Básico	R$ 1.828,09
20240125_144515.827085	2024-03-12	3 Dias - Disney World Básico	R$ 2.419,86
20240125_144521.968889	2024-03-12	4 Dias - Disney Promocional	R$ 3.107,68
20240125_144518.488487	2024-03-12	4 Dias - Disney World Básico	R$ 3.423,70
20240125_144524.669841	2024-03-12	5 Dias - Disney World Básico	R$ 3.629,50
20240125_144535.781669	2024-03-29	1 Dia - Disney Básico Animal Kingdom	R$ 936,45
20240125_144538.398537	2024-03-29	1 Dia - Disney Básico Epcot	R$ 1.022,08
20240125_144533.438708	2024-03-29	1 Dia - Disney Básico Hollywood Studios	R$ 1.022,08
20240125_144529.882934	2024-03-29	1 Dia - Disney Básico Magic Kingdom	R$ 1.050,61
20240125_144542.594133	2024-03-29	2 Dias - Disney World Básico	R$ 1.900,52
20240125_144544.820010	2024-03-29	3 Dias - Disney World Básico	R$ 2.476,71
20240125_144549.349400	2024-03-29	4 Dias - Disney Promocional	R$ 3.132,40
20240125_144547.031620	2024-03-29	4 Dias - Disney World Básico	R$ 3.445,79
20240125_144552.263734	2024-03-29	5 Dias - Disney World Básico	R$ 3.648,63
20240125_144602.080830	2024-05-30	1 Dia - Disney Básico Animal Kingdom	R$ 879,33
20240125_144604.584188	2024-05-30	1 Dia - Disney Básico Epcot	R$ 936,45
20240125_144558.003057	2024-05-30	1 Dia - Disney Básico Hollywood Studios	R$ 993,50
20240125_144555.678927	2024-05-30	1 Dia - Disney Básico Magic Kingdom	R$ 1.022,08
20240125_144606.924955	2024-05-30	2 Dias - Disney World Básico	R$ 1.778,32
20240125_144611.383787	2024-05-30	3 Dias - Disney World Básico	R$ 2.212,73
20240125_144616.800787	2024-05-30	4 Dias - Disney Promocional	R$ 2.815,46
20240125_144614.492936	2024-05-30	4 Dias - Disney World Básico	R$ 3.045,04
20240125_144618.858109	2024-05-30	5 Dias - Disney World Básico	R$ 3.169,16
