Data_Hora_Coleta	Data_viagem	Parque	Preco
20240125_143836.680361	2024-01-30	1 Dia - Disney Básico Animal Kingdom	R$ 781,75
20240125_143838.696928	2024-01-30	1 Dia - Disney Básico Epcot	R$ 840,10
20240125_143833.956481	2024-01-30	1 Dia - Disney Básico Hollywood Studios	R$ 898,45
20240125_143830.713557	2024-01-30	1 Dia - Disney Básico Magic Kingdom	R$ 927,60
20240125_143840.921744	2024-01-30	2 Dias - Disney World Básico	R$ 1.676,01
20240125_143844.067042	2024-01-30	3 Dias - Disney World Básico	R$ 2.204,76
20240125_143848.307358	2024-01-30	4 Dias - Disney Promocional	R$ 2.383,10
20240125_143846.009733	2024-01-30	4 Dias - Disney World Básico	R$ 2.841,79
20240125_143852.258755	2024-01-30	5 Dias - Disney World Básico	R$ 3.066,18
20240125_143901.223575	2024-02-04	1 Dia - Disney Básico Animal Kingdom	R$ 840,10
20240125_143904.522410	2024-02-04	1 Dia - Disney Básico Epcot	R$ 927,60
20240125_143856.624937	2024-02-04	1 Dia - Disney Básico Hollywood Studios	R$ 956,80
20240125_143854.484735	2024-02-04	1 Dia - Disney Básico Magic Kingdom	R$ 985,95
20240125_143906.694977	2024-02-04	2 Dias - Disney World Básico	R$ 1.676,01
20240125_143908.862066	2024-02-04	3 Dias - Disney World Básico	R$ 2.216,31
20240125_143914.784486	2024-02-04	4 Dias - Disney Promocional	R$ 2.383,10
20240125_143912.460163	2024-02-04	4 Dias - Disney World Básico	R$ 2.881,47
20240125_143917.021621	2024-02-04	5 Dias - Disney World Básico	R$ 3.143,54
20240125_143925.328900	2024-02-14	1 Dia - Disney Básico Animal Kingdom	R$ 869,24
20240125_143928.480526	2024-02-14	1 Dia - Disney Básico Epcot	R$ 927,60
20240125_143923.034579	2024-02-14	1 Dia - Disney Básico Hollywood Studios	R$ 985,95
20240125_143920.036856	2024-02-14	1 Dia - Disney Básico Magic Kingdom	R$ 1.015,10
20240125_143932.007155	2024-02-14	2 Dias - Disney World Básico	R$ 1.886,39
20240125_143934.457060	2024-02-14	3 Dias - Disney World Básico	R$ 2.495,56
20240125_143940.287216	2024-02-14	4 Dias - Disney Promocional	R$ 2.383,10
20240125_143936.688961	2024-02-14	4 Dias - Disney World Básico	R$ 3.195,07
20240125_143942.538932	2024-02-14	5 Dias - Disney World Básico	R$ 3.520,70
20240125_143951.925685	2024-03-12	1 Dia - Disney Básico Animal Kingdom	R$ 898,45
20240125_143954.151837	2024-03-12	1 Dia - Disney Básico Epcot	R$ 927,60
20240125_143948.503942	2024-03-12	1 Dia - Disney Básico Hollywood Studios	R$ 985,95
20240125_143944.661677	2024-03-12	1 Dia - Disney Básico Magic Kingdom	R$ 1.015,10
20240125_143956.374854	2024-03-12	2 Dias - Disney World Básico	R$ 1.828,09
20240125_143958.616445	2024-03-12	3 Dias - Disney World Básico	R$ 2.419,86
20240125_144004.706915	2024-03-12	4 Dias - Disney Promocional	R$ 3.107,68
20240125_144001.938856	2024-03-12	4 Dias - Disney World Básico	R$ 3.423,70
20240125_144006.810877	2024-03-12	5 Dias - Disney World Básico	R$ 3.629,50
20240125_144013.939017	2024-03-29	1 Dia - Disney Básico Animal Kingdom	R$ 936,45
20240125_144016.096630	2024-03-29	1 Dia - Disney Básico Epcot	R$ 1.022,08
20240125_144011.853694	2024-03-29	1 Dia - Disney Básico Hollywood Studios	R$ 1.022,08
20240125_144008.911042	2024-03-29	1 Dia - Disney Básico Magic Kingdom	R$ 1.050,61
20240125_144020.085613	2024-03-29	2 Dias - Disney World Básico	R$ 1.900,52
20240125_144022.487795	2024-03-29	3 Dias - Disney World Básico	R$ 2.476,71
20240125_144028.262781	2024-03-29	4 Dias - Disney Promocional	R$ 3.132,40
20240125_144025.505675	2024-03-29	4 Dias - Disney World Básico	R$ 3.445,79
20240125_144037.224985	2024-03-29	5 Dias - Disney World Básico	R$ 3.648,63
20240125_144044.831224	2024-05-30	1 Dia - Disney Básico Animal Kingdom	R$ 879,33
20240125_144047.667217	2024-05-30	1 Dia - Disney Básico Epcot	R$ 936,45
20240125_144042.669812	2024-05-30	1 Dia - Disney Básico Hollywood Studios	R$ 993,50
20240125_144040.173695	2024-05-30	1 Dia - Disney Básico Magic Kingdom	R$ 1.022,08
20240125_144051.474543	2024-05-30	2 Dias - Disney World Básico	R$ 1.778,32
20240125_144053.862784	2024-05-30	3 Dias - Disney World Básico	R$ 2.212,73
20240125_144058.442917	2024-05-30	4 Dias - Disney Promocional	R$ 2.815,46
20240125_144055.932583	2024-05-30	4 Dias - Disney World Básico	R$ 3.045,04
20240125_144101.408906	2024-05-30	5 Dias - Disney World Básico	R$ 3.169,16
